year,State_from,State_to,estimate,MOE
2011,Connecticut,Delaware,66,94
2011,Connecticut,Florida,11704,3121
2011,Connecticut,Georgia,709,455
2011,Connecticut,Hawaii,731,739
2011,Connecticut,Idaho,0,195
2011,Connecticut,Illinois,1819,959
2011,Connecticut,Indiana,1227,698
2011,Connecticut,Iowa,424,628
2011,Connecticut,Kansas,412,519
2011,Connecticut,Kentucky,176,251
2011,Connecticut,Louisiana,358,264
2011,Connecticut,Maine,2481,668
2011,Connecticut,Maryland,1608,903
2011,Connecticut,Massachusetts,9445,1884
2011,Connecticut,Michigan,1656,1087
2011,Connecticut,Minnesota,74,131
2011,Connecticut,Mississippi,54,74
2011,Connecticut,Missouri,1516,1078
2011,Connecticut,Montana,58,72
2011,Connecticut,Nevada,189,163
2011,Connecticut,New Hampshire,1617,519
2011,Connecticut,New Jersey,1924,845
2011,Connecticut,New Mexico,0,198
2011,Connecticut,New York,15123,3667
2011,Connecticut,North Carolina,1975,820
2011,Connecticut,North Dakota,0,143
2011,Connecticut,Ohio,1189,663
2011,Connecticut,Oklahoma,97,138
2011,Connecticut,Oregon,949,564
2011,Connecticut,Pennsylvania,4150,993
2011,Connecticut,Rhode Island,2613,984
2011,Connecticut,South Carolina,1752,1005
2011,Connecticut,South Dakota,0,155
2011,Connecticut,Tennessee,150,163
2011,Connecticut,Texas,2927,1710
2011,Connecticut,Utah,562,590
2011,Connecticut,Vermont,2105,608
2011,Connecticut,Virginia,5376,2730
2011,Connecticut,Washington,1026,533
2011,Connecticut,West Virginia,594,401
2011,Connecticut,Wisconsin,993,1397
2011,Connecticut,Wyoming,11,22
2011,Delaware,Alabama,232,301
2011,Delaware,Alaska,11,24
2011,Delaware,Arizona,0,229
2011,Delaware,Arkansas,79,141
2011,Delaware,California,1302,1343
2011,Delaware,Colorado,501,556
2011,Delaware,Connecticut,62,132
2011,Delaware,Florida,1264,949
2011,Delaware,Georgia,619,606
2011,Delaware,Hawaii,784,877
2011,Delaware,Idaho,0,195
2011,Delaware,Illinois,277,303
2011,Delaware,Indiana,79,134
2011,Delaware,Iowa,0,155
2011,Delaware,Kansas,74,85
2011,Delaware,Kentucky,0,189
2011,Delaware,Louisiana,0,198
2011,Delaware,Maine,238,228
2011,Delaware,Maryland,6652,1916
2011,Delaware,Massachusetts,399,579
2011,Delaware,Michigan,0,167
2011,Delaware,Minnesota,86,143
2011,Delaware,Mississippi,0,206
2011,Delaware,Missouri,0,184
2011,Delaware,Montana,365,392
2011,Delaware,Nevada,184,226
2011,Delaware,New Hampshire,20,32
2011,Delaware,New Jersey,2100,1025
2011,Delaware,New Mexico,0,198
2011,Delaware,New York,1124,588
2011,Delaware,North Carolina,954,600
2011,Delaware,North Dakota,84,100
2011,Delaware,Ohio,263,270
2011,Delaware,Oklahoma,66,110
2011,Delaware,Oregon,251,264
2011,Delaware,Pennsylvania,5177,1304
2011,Delaware,Rhode Island,0,207
2011,Delaware,South Carolina,841,746
2011,Delaware,South Dakota,0,155
2011,Delaware,Tennessee,155,191
2011,Delaware,Texas,884,658
2011,Delaware,Utah,0,192
2011,Delaware,Vermont,107,135
2011,Delaware,Virginia,961,652
2011,Delaware,Washington,0,201
2011,Delaware,West Virginia,89,102
2011,Delaware,Wisconsin,219,276
2011,Delaware,Wyoming,0,189
2011,District of Columbia ,Alabama,399,359
2011,District of Columbia ,Alaska,140,220
2011,District of Columbia ,Arizona,389,389
2011,District of Columbia ,Arkansas,0,192
2011,District of Columbia ,California,3240,1457
2011,District of Columbia ,Colorado,298,301
2011,District of Columbia ,Connecticut,607,373
2011,District of Columbia ,Delaware,154,144
2011,District of Columbia,Florida,891,495
2011,District of Columbia ,Georgia,364,283
2011,District of Columbia ,Hawaii,222,275
2011,District of Columbia ,Idaho,0,195
2011,District of Columbia ,Illinois,1440,708
2011,District of Columbia ,Indiana,0,190
2011,District of Columbia ,Iowa,0,155
2011,District of Columbia ,Kansas,128,141
2011,District of Columbia ,Kentucky,201,248
2011,District of Columbia ,Louisiana,195,168
2011,District of Columbia ,Maine,239,177
2011,District of Columbia ,Maryland,18492,3025
2011,District of Columbia ,Massachusetts,676,358
2011,District of Columbia ,Michigan,256,259
2011,District of Columbia ,Minnesota,367,391
2011,District of Columbia ,Mississippi,415,434
2011,District of Columbia ,Missouri,215,254
2011,District of Columbia ,Montana,0,165
2011,District of Columbia ,Nevada,983,1261
2011,District of Columbia ,New Hampshire,68,112
2011,District of Columbia ,New Jersey,781,409
2011,District of Columbia ,New Mexico,212,336
2011,District of Columbia ,New York,3702,1051
2011,District of Columbia ,North Carolina,1135,591
2011,District of Columbia ,North Dakota,0,143
2011,District of Columbia ,Ohio,587,449
2011,District of Columbia ,Oklahoma,191,234
2011,District of Columbia ,Oregon,349,291
2011,District of Columbia ,Pennsylvania,1401,584
2011,District of Columbia ,Rhode Island,0,207
2011,District of Columbia ,South Carolina,589,681
2011,District of Columbia ,South Dakota,0,155
2011,District of Columbia ,Tennessee,307,186
2011,District of Columbia ,Texas,2276,1540
2011,District of Columbia ,Utah,132,141
2011,District of Columbia ,Vermont,27,53
2011,District of Columbia ,Virginia,6854,1711
2011,District of Columbia ,Washington,358,254
2011,District of Columbia ,West Virginia,300,231
2011,District of Columbia ,Wisconsin,123,170
2011,District of Columbia ,Wyoming,0,189
2011,Florida,Alabama,20063,4141
2011,Florida,Alaska,1188,476
2011,Florida,Arizona,3732,1842
2011,Florida,Arkansas,3067,1273
2011,Florida,California,22094,4333
2011,Florida,Colorado,8075,2090
2011,Florida,Connecticut,4771,1275
2011,Florida,Delaware,810,449
2011,Florida,Georgia,42666,5232
2011,Florida,Hawaii,3160,1311
2011,Florida,Idaho,1733,1210
2011,Florida,Illinois,17548,3370
2011,Florida,Indiana,8595,3053
2011,Florida,Iowa,707,455
2011,Florida,Kansas,1581,790
2011,Florida,Kentucky,7400,1965
2011,Florida,Louisiana,5193,2120
2011,Florida,Maine,4304,1908
2011,Florida,Maryland,7825,1691
2011,Florida,Massachusetts,11396,2715
2011,Florida,Michigan,17712,3844
2011,Florida,Minnesota,2820,806
2011,Florida,Mississippi,6152,2463
2011,Florida,Missouri,4513,1398
2011,Florida,Montana,291,235
2011,Florida,Nevada,2923,1608
2011,Florida,New Hampshire,1970,813
2011,Florida,New Jersey,12907,3313
2011,Florida,New Mexico,2806,1557
2011,Florida,New York,29344,4718
2011,Florida,North Carolina,28044,4471
2011,Florida,North Dakota,459,303
2011,Florida,Ohio,16492,3173
2011,Florida,Oklahoma,6056,1588
2011,Florida,Oregon,3384,1934
2011,Florida,Pennsylvania,19299,3790
2011,Florida,Rhode Island,2230,915
2011,Florida,South Carolina,15476,4230
2011,Florida,South Dakota,101,102
2011,Florida,Tennessee,15491,3282
2011,Florida,Texas,35777,6888
2011,Florida,Utah,1643,960
2011,Florida,Vermont,366,199
2011,Florida,Virginia,17773,3494
2011,Florida,Washington,6094,1777
2011,Florida,West Virginia,2949,1076
2011,Florida,Wisconsin,4338,1103
2011,Florida,Wyoming,1525,1206
2011,Georgia,Alabama,19346,3711
2011,Georgia,Alaska,556,419
2011,Georgia,Arizona,2206,1147
2011,Georgia,Arkansas,1446,759
2011,Georgia,California,13303,3042
2011,Georgia,Colorado,3250,1254
2011,Georgia,Connecticut,2000,988
2011,Georgia,Delaware,639,422
2011,Georgia,Florida,38658,6270
2011,Georgia,Hawaii,2519,956
2011,Georgia,Idaho,275,234
2011,Georgia,Illinois,6042,2192
2011,Georgia,Indiana,2543,1176
2011,Georgia,Iowa,1938,1485
2011,Georgia,Kansas,1146,666
2011,Georgia,Kentucky,2725,892
2011,Georgia,Louisiana,4425,1541
2011,Georgia,Maine,507,415
2011,Georgia,Maryland,7113,1789
2011,Georgia,Massachusetts,3264,1666
2011,Georgia,Michigan,4254,1566
2011,Georgia,Minnesota,840,467
2011,Georgia,Mississippi,3136,1397
2011,Georgia,Missouri,2964,972
2011,Georgia,Montana,231,193
2011,Georgia,Nevada,1731,909
2011,Georgia,New Hampshire,535,449
2011,Georgia,New Jersey,4268,2025
2011,Georgia,New Mexico,676,406
2011,Georgia,New York,10584,2320
2011,Georgia,North Carolina,16192,3163
2011,Georgia,North Dakota,364,410
2011,Georgia,Ohio,4290,1143
2011,Georgia,Oklahoma,3514,1642
2011,Georgia,Oregon,1946,1914
2011,Georgia,Pennsylvania,4627,1185
2011,Georgia,Rhode Island,476,361
2011,Georgia,South Carolina,16355,2798
2011,Georgia,South Dakota,69,104
2011,Georgia,Tennessee,17507,4897
2011,Georgia,Texas,17401,3608
2011,Georgia,Utah,1052,595
2011,Georgia,Vermont,101,99
2011,Georgia,Virginia,8715,1962
2011,Georgia,Washington,8705,3348
2011,Georgia,West Virginia,1296,898
2011,Georgia,Wisconsin,1745,1106
2011,Georgia,Wyoming,46,80
2011,Hawaii,Alabama,1259,1292
2011,Hawaii,Alaska,1366,703
2011,Hawaii,Arizona,2199,1109
2011,Hawaii,Arkansas,13,27
2011,Hawaii,California,9864,2683
2011,Hawaii,Colorado,1852,832
2011,Hawaii,Connecticut,587,523
2011,Hawaii,Delaware,201,171
2011,Hawaii,Florida,3639,2081
2011,Hawaii,Georgia,1006,883
2011,Hawaii,Idaho,254,314
2011,Hawaii,Illinois,1269,735
2011,Hawaii,Indiana,1057,717
2011,Hawaii,Iowa,299,454
2011,Hawaii,Kansas,287,282
2011,Hawaii,Kentucky,63,80
